CPU time (s),GPU time (s), Cycle
0.000706,0.000499,0
0.000675,0.000597,1
0.000677,0.000576,2
0.000674,0.000622,3
0.000676,0.000629,4
0.000677,0.000634,5
0.000676,0.000628,6
0.000677,0.000620,7
0.000677,0.000541,8
0.000704,0.000541,9
0.000697,0.000476,10
0.000700,0.000452,11
0.000680,0.000571,12
0.000680,0.000574,13
0.000679,0.000550,14
0.000679,0.000485,15
0.000673,0.000456,16
0.000677,0.000453,17
0.000678,0.000446,18
0.000678,0.000450,19
0.000674,0.000453,20
0.000675,0.000447,21
0.000676,0.000417,22
0.000675,0.000418,23
0.000677,0.000424,24
0.000679,0.000420,25
0.000673,0.000444,26
0.000676,0.000464,27
0.000673,0.000449,28
0.000675,0.000470,29
0.000699,0.000445,30
0.000676,0.000443,31
0.000675,0.000448,32
0.000677,0.000532,33
0.000676,0.000541,34
0.000677,0.000444,35
0.000680,0.000421,36
0.000675,0.000463,37
0.000674,0.000483,38
0.000674,0.000479,39
0.000675,0.000529,40
0.000700,0.000481,41
0.000697,0.000476,42
0.000699,0.000469,43
0.000674,0.000476,44
0.000676,0.000445,45
0.000675,0.000469,46
0.000675,0.000477,47
0.000677,0.000485,48
0.000677,0.000472,49
0.000674,0.000502,50
0.000676,0.000495,51
0.000679,0.000478,52
0.000674,0.000480,53
0.000673,0.000470,54
0.000675,0.000472,55
0.000675,0.000471,56
0.000680,0.000443,57
0.000677,0.000441,58
0.000677,0.000465,59
0.000674,0.000476,60
0.000700,0.000472,61
0.000700,0.000471,62
0.000693,0.000473,63
0.000701,0.000451,64
0.000674,0.000481,65
0.000675,0.000479,66
0.000673,0.000478,67
0.000674,0.000527,68
0.000678,0.000472,69
0.000675,0.000441,70
0.000677,0.000470,71
0.000673,0.000469,72
0.000673,0.000467,73
0.000674,0.000441,74
0.000675,0.000438,75
0.000675,0.000466,76
0.000675,0.000443,77
0.000676,0.000440,78
0.000673,0.000444,79
0.000676,0.000467,80
0.000678,0.000443,81
0.000674,0.000438,82
0.000697,0.000443,83
0.000695,0.000469,84
0.000698,0.000473,85
0.000698,0.000467,86
0.000675,0.000469,87
0.000677,0.000473,88
0.000677,0.000444,89
0.000677,0.000473,90
0.000675,0.000471,91
0.000674,0.000467,92
0.000674,0.000470,93
0.000676,0.000444,94
0.000675,0.000452,95
0.000675,0.000447,96
0.000679,0.000664,97
0.000676,0.000584,98
0.000677,0.000505,99
0.000676,0.000479,100
0.000679,0.000495,101
0.000699,0.000474,102
0.000698,0.000474,103
0.000697,0.000466,104
0.000701,0.000479,105
0.000675,0.000478,106
0.000675,0.000473,107
0.000678,0.000494,108
0.000675,0.000495,109
0.000671,0.000479,110
0.000675,0.000474,111
0.000677,0.000465,112
0.000677,0.000489,113
0.000676,0.000475,114
0.000674,0.000475,115
0.000676,0.000471,116
0.000674,0.000563,117
0.000677,0.000465,118
0.000687,0.000544,119
0.000678,0.000580,120
0.000705,0.000495,121
0.000706,0.000475,122
0.000698,0.000473,123
0.000675,0.000469,124
0.000677,0.000477,125
0.000677,0.000473,126
0.000675,0.000470,127
0.000674,0.000447,128
0.000677,0.000468,129
0.000678,0.000483,130
0.000674,0.000470,131
0.000676,0.000475,132
0.000674,0.000478,133
0.000677,0.000474,134
0.000674,0.000458,135
0.000675,0.000454,136
0.000679,0.000496,137
0.000677,0.000529,138
0.000676,0.000503,139
0.000674,0.000482,140
0.000677,0.000497,141
0.000676,0.000476,142
0.000678,0.000477,143
0.000676,0.000471,144
0.000675,0.000500,145
0.000674,0.000471,146
0.000674,0.000475,147
0.000676,0.000455,148
0.000674,0.000480,149
0.000676,0.000445,150
0.000686,0.000468,151
0.000677,0.000475,152
0.000675,0.000474,153
0.000674,0.000472,154
0.000677,0.000478,155
0.000675,0.000466,156
0.000676,0.000471,157
0.000676,0.000443,158
0.000675,0.000471,159
0.000675,0.000470,160
0.000675,0.000447,161
0.000695,0.000474,162
0.000676,0.000514,163
0.000676,0.000484,164
0.000676,0.000478,165
0.000675,0.000472,166
0.000676,0.000479,167
0.000675,0.000505,168
0.000676,0.000448,169
0.000675,0.000483,170
0.000676,0.000446,171
0.000675,0.000468,172
0.000675,0.000471,173
0.000690,0.000492,174
0.000674,0.000477,175
0.000677,0.000475,176
0.000678,0.000483,177
0.000677,0.000472,178
0.000687,0.000471,179
0.000676,0.000440,180
0.000677,0.000471,181
0.000677,0.000474,182
0.000676,0.000490,183
0.000679,0.000484,184
0.000691,0.000489,185
0.000675,0.000454,186
0.000671,0.000462,187
0.000675,0.000486,188
0.000676,0.000472,189
0.000675,0.000650,190
0.000678,0.000567,191
0.000718,0.000505,192
0.000728,0.000591,193
0.000679,0.000571,194
0.000677,0.000554,195
0.000677,0.000550,196
0.000678,0.000550,197
0.000677,0.000564,198
0.000676,0.000554,199
0.000678,0.000565,200
0.000676,0.000576,201
0.000676,0.000578,202
0.000676,0.000575,203
0.000673,0.000628,204
0.000717,0.000549,205
0.000720,0.000558,206
0.000678,0.000566,207
0.000678,0.000535,208
0.000680,0.000559,209
0.000678,0.000578,210
0.000675,0.000561,211
0.000678,0.000561,212
0.000678,0.000546,213
0.000677,0.000534,214
0.000676,0.000562,215
0.000675,0.000552,216
0.000677,0.000590,217
0.000719,0.000560,218
0.000726,0.000569,219
0.000678,0.000569,220
0.000677,0.000563,221
0.000678,0.000550,222
0.000677,0.000555,223
0.000679,0.000576,224
0.000677,0.000563,225
0.000679,0.000564,226
0.000676,0.000558,227
0.000674,0.000598,228
0.000678,0.000579,229
0.000715,0.000552,230
0.000723,0.000551,231
0.000714,0.000550,232
0.000675,0.000563,233
0.000677,0.000561,234
0.000676,0.000557,235
0.000677,0.000559,236
0.000678,0.000552,237
0.000681,0.000542,238
0.000680,0.000551,239
0.000679,0.000564,240
0.000677,0.000545,241
0.000674,0.000540,242
0.000676,0.000563,243
0.000676,0.000568,244
0.000681,0.000597,245
0.000676,0.000592,246
0.000679,0.000571,247
0.000678,0.000584,248
0.000678,0.000547,249
0.000676,0.000553,250
0.000676,0.000576,251
0.000724,0.000540,252
0.000718,0.000554,253
0.000679,0.000577,254
0.000679,0.000574,255
0.000678,0.000555,256
0.000681,0.000545,257
0.000678,0.000560,258
0.000677,0.000541,259
0.000680,0.000540,260
0.000679,0.000535,261
0.000678,0.000583,262
0.000677,0.000581,263
0.000718,0.000532,264
0.000718,0.000541,265
0.000679,0.000510,266
0.000676,0.000507,267
0.000673,0.000520,268
0.000674,0.000544,269
0.000678,0.000550,270
0.000678,0.000540,271
0.000678,0.000529,272
0.000678,0.000585,273
0.000679,0.000539,274
0.000703,0.000530,275
0.000735,0.000544,276
0.000729,0.000550,277
0.000681,0.000550,278
0.000679,0.000557,279
0.000679,0.000563,280
0.000675,0.000577,281
0.000681,0.000558,282
0.000675,0.000554,283
0.000679,0.000577,284
0.000676,0.000580,285
0.000720,0.000540,286
0.000722,0.000548,287
0.000678,0.000548,288
0.000677,0.000553,289
0.000677,0.000540,290
0.000674,0.000546,291
0.000679,0.000562,292
0.000674,0.000554,293
0.000677,0.000560,294
0.000679,0.000553,295
0.000678,0.000581,296
0.000679,0.000544,297
0.000716,0.000542,298
0.000721,0.000539,299
0.000717,0.000528,300
0.000678,0.000547,301
0.000677,0.000542,302
0.000677,0.000536,303
0.000673,0.000556,304
0.000674,0.000538,305
0.000676,0.000559,306
0.000678,0.000549,307
0.000677,0.000536,308
0.000679,0.000555,309
0.000681,0.000628,310
0.000729,0.000533,311
0.000731,0.000530,312
0.000742,0.000587,313
0.000674,0.000546,314
0.000674,0.000570,315
0.000677,0.000537,316
0.000675,0.000544,317
0.000675,0.000552,318
0.000677,0.000538,319
0.000676,0.000549,320
0.000678,0.000557,321
0.000675,0.000562,322
0.000677,0.000568,323
0.000702,0.000557,324
0.000722,0.000661,325
0.000679,0.000547,326
0.000676,0.000564,327
0.000680,0.000554,328
0.000681,0.000542,329
0.000678,0.000565,330
0.000679,0.000548,331
0.000676,0.000565,332
0.000676,0.000552,333
0.000677,0.000538,334
0.000677,0.000555,335
0.000678,0.000536,336
0.000699,0.000520,337
0.000722,0.000553,338
0.000718,0.000531,339
0.000678,0.000567,340
0.000681,0.000607,341
0.000680,0.000547,342
0.000676,0.000548,343
0.000679,0.000559,344
0.000675,0.000562,345
0.000675,0.000558,346
0.000679,0.000548,347
0.000677,0.000551,348
0.000678,0.000574,349
0.000676,0.000580,350
0.000719,0.000553,351
0.000718,0.000502,352
0.000677,0.000552,353
0.000676,0.000553,354
0.000677,0.000546,355
0.000677,0.000534,356
0.000677,0.000536,357
0.000677,0.000547,358
0.000675,0.000547,359
0.000677,0.000564,360
0.000674,0.000540,361
0.000674,0.000565,362
0.000719,0.000552,363
0.000718,0.000564,364
0.000728,0.000578,365
0.000679,0.000591,366
0.000677,0.000572,367
0.000677,0.000573,368
0.000678,0.000547,369
