CPU time (s),GPU time (s), Cycle
0.000713,0.000507,0
0.000685,0.000436,1
0.000684,0.000404,2
0.000682,0.000593,3
0.000679,0.000575,4
0.000684,0.000545,5
0.000683,0.000539,6
0.000683,0.000415,7
0.000685,0.000555,8
0.000682,0.000471,9
0.000683,0.000591,10
0.000725,0.000486,11
0.000739,0.000500,12
0.000739,0.000518,13
0.000683,0.000471,14
0.000683,0.000481,15
0.000685,0.000543,16
0.000681,0.000601,17
0.000686,0.000467,18
0.000684,0.000460,19
0.000684,0.000483,20
0.000685,0.000482,21
0.000682,0.000427,22
0.000686,0.000595,23
0.000706,0.000467,24
0.000725,0.000482,25
0.000716,0.000449,26
0.000726,0.000497,27
0.000684,0.000510,28
0.000684,0.000483,29
0.000684,0.000572,30
0.000682,0.000604,31
0.000683,0.000526,32
0.000684,0.000570,33
0.000683,0.000590,34
0.000684,0.000597,35
0.000719,0.000549,36
0.000722,0.000527,37
0.000680,0.000638,38
0.000684,0.000487,39
0.000684,0.000475,40
0.000683,0.000432,41
0.000687,0.000491,42
0.000681,0.000462,43
0.000683,0.000471,44
0.000684,0.000424,45
0.000683,0.000483,46
0.000684,0.000475,47
0.000684,0.000473,48
0.000684,0.000461,49
0.000679,0.000482,50
0.000686,0.000550,51
0.000683,0.000608,52
0.000716,0.000515,53
0.000732,0.000586,54
0.000683,0.000542,55
0.000682,0.000564,56
0.000682,0.000493,57
0.000678,0.000508,58
0.000684,0.000464,59
0.000681,0.000471,60
0.000683,0.000421,61
0.000682,0.000504,62
0.000683,0.000438,63
0.000684,0.000477,64
0.000681,0.000440,65
0.000683,0.000515,66
0.000683,0.000455,67
0.000723,0.000474,68
0.000715,0.000425,69
0.000719,0.000500,70
0.000683,0.000433,71
0.000682,0.000469,72
0.000682,0.000444,73
0.000680,0.000513,74
0.000682,0.000479,75
0.000682,0.000470,76
0.000681,0.000459,77
0.000700,0.000455,78
0.000723,0.000471,79
0.000716,0.000425,80
0.000684,0.000502,81
0.000683,0.000476,82
0.000682,0.000478,83
0.000682,0.000432,84
0.000685,0.000490,85
0.000683,0.000466,86
0.000684,0.000474,87
0.000682,0.000434,88
0.000680,0.000471,89
0.000683,0.000468,90
0.000684,0.000468,91
0.000683,0.000432,92
0.000682,0.000511,93
0.000683,0.000505,94
0.000684,0.000473,95
0.000714,0.000428,96
0.000728,0.000488,97
0.000729,0.000464,98
0.000684,0.000445,99
0.000683,0.000402,100
0.000677,0.000500,101
0.000682,0.000455,102
0.000683,0.000468,103
0.000684,0.000479,104
0.000686,0.000511,105
0.000682,0.000479,106
0.000683,0.000511,107
0.000710,0.000451,108
0.000724,0.000464,109
0.000715,0.000444,110
0.000681,0.000441,111
0.000685,0.000455,112
0.000686,0.000473,113
0.000683,0.000436,114
0.000682,0.000461,115
0.000682,0.000489,116
0.000686,0.000503,117
0.000681,0.000450,118
0.000683,0.000461,119
0.000681,0.000480,120
0.000684,0.000492,121
0.000683,0.000475,122
0.000683,0.000435,123
0.000680,0.000477,124
0.000686,0.000480,125
0.000681,0.000515,126
0.000709,0.000430,127
0.000725,0.000480,128
0.000733,0.000473,129
0.000684,0.000473,130
0.000682,0.000434,131
0.000685,0.000512,132
0.000685,0.000446,133
0.000684,0.000429,134
0.000684,0.000409,135
0.000679,0.000481,136
0.000684,0.000478,137
0.000683,0.000450,138
0.000683,0.000425,139
0.000685,0.000530,140
0.000683,0.000466,141
0.000683,0.000472,142
0.000681,0.000468,143
0.000685,0.000480,144
0.000684,0.000480,145
0.000683,0.000442,146
0.000684,0.000519,147
0.000682,0.000476,148
0.000683,0.000469,149
0.000681,0.000436,150
0.000680,0.000488,151
0.001975,0.000964,152
0.000683,0.000507,153
0.000682,0.000470,154
0.000683,0.000491,155
0.000684,0.000459,156
0.000681,0.000496,157
0.000685,0.000468,158
0.000684,0.000474,159
0.000692,0.000410,160
0.000724,0.000510,161
0.000682,0.000452,162
0.000684,0.000470,163
0.000685,0.000429,164
0.000681,0.000516,165
0.000686,0.000463,166
0.000685,0.000474,167
0.000683,0.000468,168
0.000684,0.000492,169
0.000683,0.000431,170
0.000684,0.000451,171
0.000683,0.000466,172
0.000685,0.000460,173
0.000682,0.000432,174
0.000685,0.000474,175
0.000683,0.000471,176
0.000680,0.000496,177
0.000716,0.000417,178
0.000726,0.000464,179
0.000712,0.000458,180
0.000730,0.000483,181
0.000682,0.000446,182
0.000684,0.000459,183
0.000684,0.000473,184
0.000686,0.000478,185
0.000683,0.000436,186
0.000684,0.000462,187
0.000683,0.000478,188
0.000684,0.000457,189
0.000682,0.000561,190
0.000683,0.000475,191
0.000685,0.000496,192
0.000682,0.000474,193
0.000684,0.000477,194
0.000682,0.000430,195
0.000683,0.000485,196
0.000684,0.000487,197
0.000685,0.000479,198
0.000682,0.000427,199
0.000683,0.000507,200
0.000682,0.000428,201
0.000683,0.000470,202
0.000683,0.000431,203
0.000688,0.000536,204
0.000684,0.000450,205
0.000684,0.000520,206
0.000713,0.000396,207
0.000727,0.000498,208
0.000717,0.000428,209
0.000684,0.000471,210
0.000682,0.000398,211
0.000683,0.000496,212
0.000683,0.000437,213
0.000683,0.000472,214
0.000684,0.000455,215
0.000681,0.000485,216
0.000682,0.000422,217
0.000682,0.000474,218
0.000683,0.000408,219
0.000676,0.000516,220
0.000684,0.000448,221
0.000683,0.000481,222
0.000682,0.000445,223
0.000684,0.000491,224
0.000683,0.000459,225
0.000682,0.000404,226
0.000682,0.000353,227
0.000680,0.000350,228
0.000682,0.000388,229
0.000681,0.000347,230
0.000682,0.000373,231
0.000680,0.000351,232
0.000682,0.000352,233
0.000682,0.000374,234
0.000680,0.000415,235
0.000683,0.000421,236
0.000682,0.000423,237
0.000681,0.000387,238
0.000702,0.000345,239
0.000703,0.000352,240
0.000706,0.000384,241
0.000703,0.000350,242
0.000703,0.000330,243
0.000701,0.000377,244
0.000702,0.000346,245
0.000702,0.000339,246
0.000701,0.000339,247
0.000701,0.000382,248
0.000701,0.000360,249
0.000705,0.000387,250
0.000710,0.000414,251
