CPU time (s),GPU time (s), Cycle
0.000707,0.000515,0
0.000681,0.000450,1
0.000681,0.000395,2
0.000682,0.000536,3
0.000682,0.000475,4
0.000681,0.000533,5
0.000681,0.000517,6
0.000681,0.000534,7
0.000682,0.000544,8
0.000705,0.000492,9
0.000705,0.000451,10
0.000706,0.000357,11
0.000681,0.000443,12
0.000680,0.000450,13
0.000681,0.000515,14
0.000681,0.000402,15
0.000683,0.000520,16
0.000680,0.000416,17
0.000691,0.000456,18
0.000701,0.000406,19
0.000707,0.000460,20
0.000680,0.000365,21
0.000682,0.000376,22
0.000681,0.000335,23
0.000680,0.000426,24
0.000680,0.000538,25
0.000683,0.000433,26
0.000681,0.000504,27
0.000682,0.000408,28
0.000691,0.000372,29
0.000681,0.000344,30
0.000681,0.000336,31
0.000681,0.000346,32
0.000680,0.000337,33
0.000680,0.000342,34
0.000682,0.000340,35
0.000680,0.000347,36
0.000681,0.000445,37
0.000680,0.000401,38
0.000681,0.000394,39
0.000682,0.000388,40
0.000681,0.000391,41
0.000681,0.000365,42
0.000681,0.000455,43
0.000680,0.000531,44
0.000683,0.000535,45
0.000705,0.000509,46
0.000704,0.000414,47
0.000680,0.000563,48
0.000681,0.000474,49
0.000681,0.000476,50
0.000682,0.000479,51
0.000681,0.000516,52
0.000681,0.000481,53
0.000704,0.000509,54
0.000705,0.000513,55
0.000705,0.000454,56
0.000704,0.000418,57
0.000681,0.000376,58
0.000681,0.000372,59
0.000680,0.000377,60
0.000680,0.000350,61
0.000681,0.000348,62
0.000681,0.000370,63
0.000680,0.000368,64
0.000680,0.000379,65
0.000682,0.000408,66
0.000680,0.000336,67
0.000680,0.000417,68
0.000691,0.000420,69
0.000680,0.000424,70
0.000680,0.000419,71
0.000682,0.000443,72
0.000681,0.000413,73
0.000680,0.000422,74
0.000679,0.000386,75
0.000689,0.000335,76
0.000680,0.000383,77
0.000681,0.000389,78
0.000681,0.000384,79
0.000690,0.000395,80
0.000682,0.000374,81
0.000680,0.000379,82
0.000682,0.000395,83
0.000681,0.000389,84
0.000681,0.000365,85
0.000681,0.000355,86
0.000681,0.000341,87
0.000691,0.000407,88
0.000681,0.000353,89
0.000681,0.000422,90
0.000681,0.000422,91
0.000690,0.000421,92
0.000682,0.000408,93
0.000681,0.000421,94
0.000682,0.000378,95
0.000680,0.000338,96
0.000681,0.000338,97
0.000680,0.000350,98
0.000691,0.000348,99
0.000680,0.000421,100
0.000681,0.000330,101
0.000681,0.000448,102
0.000695,0.000461,103
0.000681,0.000404,104
0.000681,0.000343,105
0.000680,0.000345,106
0.000691,0.000343,107
0.000680,0.000373,108
0.000681,0.000381,109
0.000681,0.000433,110
0.000680,0.000359,111
0.000680,0.000365,112
0.000682,0.000387,113
0.000682,0.000422,114
0.000682,0.000407,115
0.000681,0.000342,116
0.000680,0.000335,117
0.000680,0.000331,118
0.000681,0.000328,119
0.000682,0.000332,120
0.000691,0.000332,121
0.000681,0.000374,122
0.000680,0.000344,123
0.000681,0.000424,124
0.000691,0.000402,125
0.000680,0.000409,126
0.000680,0.000425,127
0.000681,0.000368,128
0.000680,0.000375,129
0.000680,0.000423,130
0.000680,0.000364,131
0.000692,0.000355,132
0.000681,0.000365,133
0.000681,0.000418,134
0.000682,0.000338,135
0.000696,0.000382,136
0.000681,0.000424,137
0.000680,0.000374,138
0.000680,0.000339,139
0.000690,0.000399,140
0.000681,0.000328,141
0.000680,0.000341,142
0.000681,0.000342,143
0.000681,0.000340,144
0.000680,0.000337,145
0.000681,0.000345,146
